t;x;y;z;Flag
1497384572,3749135;-1,83701045517284e-17;-0,3000065743775002;0,0;False
1497384572,6340864;-0,017879581398589972;-0,5994798874435124;0,0;False
1497384572,9052815;-0,05139901351865098;-0,8976080349574149;0,0;False
1497384573,1324356;-0,10130775826835887;-1,1934341018738228;0,0;False
1497384573,3616095;-0,1647795499873418;-1,4866495113012685;0,0;False
1497384573,6008244;-0,2417397618158854;-1,776616872335279;0,0;False
1497384573,8299778;-0,3327218773079972;-2,062494817147926;0,0;False
1497384574,0691369;-0,4368796576062096;-2,3438399814445097;0,0;False
1497384574,298293;-0,5545483626173806;-2,6198074080200326;0,0;False
1497384574,537451;-0,6849039448298281;-2,8900135642337217;0,0;False
1497384574,7786188;-0,8281998435369894;-3,1535856228503922;0,0;False
1497384575,0668054;-0,9841513965982747;-3,4098726841068974;0,0;False
1497384575,3030348;-1,154799658953069;-3,6566177250398653;0,0;False
1497384575,5552874;-1,3371109305807563;-3,894875033232538;0,0;False
1497384575,8064573;-1,5313146361462935;-4,123542620385455;0,0;False
1497384576,0496418;-1,7369475404209687;-4,341989532355583;0,0;False
1497384576,2868638;-1,9530940971006898;-4,550039071420736;0,0;False
1497384576,5270224;-2,1789907961468087;-4,747458994502956;0,0;False
1497384576,769225;-2,4141884907532685;-4,933700743639742;0,0;False
1497384577,006384;-2,6582424414608012;-5,108175996365645;0,0;False
1497384577,2465434;-2,9103984546262684;-5,2707222657606065;0,0;False
1497384577,4847248;-3,170165257321049;-5,420806085299734;0,0;False
1497384577,7759402;-3,4369002221281493;-5,5581247046456825;0,0;False
1497384578,019124;-3,7112469692639545;-5,679524074519357;0,0;False
1497384578,2572823;-3,991242056744108;-5,787258449983755;0,0;False
1497384578,4884365;-4,276128798513333;-5,881298276833008;0,0;False
1497384578,7206113;-4,565107416405967;-5,961891719932218;0,0;False
1497384578,9487836;-4,857557483256253;-6,028801383427006;0,0;False
1497384579,1789584;-5,152788264167893;-6,0821186477231555;0,0;False
1497384579,4131498;-5,450184421208245;-6,121608778735254;0,0;False
1497384579,6453075;-5,74911944619941;-6,146942461911096;0,0;False
1497384579,8805044;-6,048915248182533;-6,158186206083681;0,0;False
1497384580,1136787;-6,34890687234088;-6,155191192801569;0,0;False
1497384580,400923;-6,648418502731151;-6,137965400201974;0,0;False
1497384580,6470838;-6,9464202407354705;-6,1033401375152065;0,0;False
1497384580,89027;-7,242324171533877;-6,053895133644496;0,0;False
1497384581,1304479;-7,535432390512915;-5,989930169510536;0,0;False
1497384581,3706102;-7,825080564337984;-5,911777242057209;0,0;False
1497384581,6117895;-8,110582642254123;-5,819622436565091;0,0;False
1497384581,8499713;-8,391240354624088;-5,7136262424967175;0,0;False
1497384582,0841467;-8,666455712639351;-5,59420911063427;0,0;False
1497384582,3163252;-8,935694927832607;-5,461867924029938;0,0;False
1497384582,5504785;-9,198410162742265;-5,317007128726012;0,0;False
1497384582,791681;-9,45395677657191;-5,159845196853421;0,0;False
1497384583,1399133;-9,701517339471945;-4,990382185059283;0,0;False
1497384583,3780723;-9,936509813406822;-4,803881563441852;0,0;False
1497384583,6162522;-10,162228942637526;-4,606258641266677;0,0;False
1497384583,853426;-10,378147937630725;-4,397972942595718;0,0;False
1497384584,0896645;-10,583852411238214;-4,1795934238500525;0,0;False
1497384584,328824;-10,778868123277242;-3,951617949889292;0,0;False
1497384584,5729876;-10,96260773169928;-3,714460405276773;0,0;False
1497384584,8142073;-11,13434005208611;-3,4684686273567014;0,0;False
1497384585,0523672;-11,293844365252953;-3,2143774650725794;0,0;False
1497384585,2885888;-11,440954864699474;-2,9529153346935937;0,0;False
1497384585,5218253;-11,575327867299293;-2,6846843878548077;0,0;False
1497384585,819024;-11,69687456804016;-2,410402882447074;0,0;False
1497384586,0501926;-11,801687826185491;-2,1293012538735585;0,0;False
1497384586,2813702;-11,893277318857306;-1,8436173210004578;0,0;False
1497384586,519528;-11,971384267203625;-1,5539567449985656;0,0;False
1497384586,7537012;-12,03542284830931;-1,2608646011262103;0,0;False
1497384586,9808807;-12,085422622227375;-0,9650539061237055;0,0;False
1497384587,212035;-12,121752634079865;-0,6672551906991414;0,0;False
1497384587,4462078;-12,14409484011983;-0,36808171176260485;0,0;False
1497384587,6783633;-12,152216708353736;-0,06818509636637593;0,0;False
1497384587,9125195;-12,146222588201775;0,2317615908854196;0,0;False
1497384588,1446967;-12,126004370545266;0,531086111004498;0,0;False
