t;x;y;z;Flag
1497383324,6130812;0,42032997028062585;-0,2748203505347853;0,0;False
1497383324,8562384;0,5550711828649789;-0,039742637314245266;0,0;False
1497383325,104404;1,0882549716059686;-0,2569080487985004;0,0;False
1497383325,3515685;1,1100006359141923;-0,18187445164435656;0,0;False
1497383325,602736;1,700902923473738;-0,2845105327064935;0,0;False
1497383326,2231693;1,6913969290418045;-0,36176045800985546;0,0;False
1497383326,4553533;1,76658390472844;-0,25219039938140597;0,0;False
1497383326,6855;2,317266038405182;-0,4902166155445761;0,0;False
1497383326,9177358;2,2853695641554945;-0,6499096774964667;0,0;False
1497383327,196003;2,8072660031197607;-0,6515248112691402;0,0;False
1497383327,4371629;2,7862952200986095;-0,9399463149852143;0,0;False
1497383327,6783803;3,2448390117138537;-0,9062281667272244;0,0;False
1497383327,916536;3,3465118888372243;-1,3622683145526753;0,0;False
1497383328,1556993;3,596715117668409;-1,2614642946407422;0,0;False
1497383328,4009392;3,894865935562625;-1,7586711338277992;0,0;False
1497383328,6501043;3,9371507645134476;-1,725741886407601;0,0;False
1497383328,9022727;4,349797882558782;-2,159869930137409;0,0;False
1497383329,1444342;4,273339716812522;-2,2455127828990595;0,0;False
1497383329,3895972;4,736393253018965;-2,5549043171376624;0,0;False
1497383329,6297967;4,594526778112604;-2,8368416220811357;0,0;False
1497383329,9249954;5,011757724801177;-2,975155782338927;0,0;False
1497383330,1661944;4,843619832744599;-3,2919728120598495;0,0;False
1497383330,4063559;5,2228099776594625;-3,4269818000043;0,0;False
1497383330,645536;5,125274404256291;-3,933960200120122;0,0;False
1497383330,8877182;5,3189208441657785;-3,9402914195946526;0,0;False
1497383331,1258793;5,382775728334222;-4,531046692555426;0,0;False
1497383331,4761324;5,568277682202291;-5,077360282609497;0,0;False
1497383331,7173166;5,444341143286329;-5,627278862750277;0,0;False
1497383331,959476;5,539973875732726;-5,635112772658888;0,0;False
1497383332,199638;5,575070845548044;-6,233849972865777;0,0;False
1497383332,4388368;5,34536680321375;-6,733330812857948;0,0;False
1497383332,7320297;5,466494997487161;-6,768023137339684;0,0;False
1497383332,9731934;5,225512754700662;-7,286478128709419;0,0;False
1497383333,2313628;5,29156830235171;-7,306251705765637;0,0;False
1497383333,4685233;5,147075234747621;-7,888535272314428;0,0;False
1497383333,710683;5,0270474017172235;-7,87962187059823;0,0;False
1497383333,9528449;5,063606081025106;-8,433115809017217;0,0;False
1497383334,1950085;4,741600087804073;-8,500411503561825;0,0;False
1497383334,8315108;4,876406521643937;-8,926946352306057;0,0;False
1497383335,0957081;4,71963661217046;-9,482344480672085;0,0;False
1497383335,3379295;4,52483228144055;-9,429895642313223;0,0;False
1497383335,5811148;4,461180189747872;-9,943165711616958;0,0;False
1497383335,873328;4,070090866353141;-9,945383190538328;0,0;False
1497383336,1154928;3,9995091276781296;-10,429075127017477;0,0;False
1497383336,3596523;3,5659413780957654;-10,426884827928161;0,0;False
1497383336,605868;3,6066357992726474;-10,756047439469231;0,0;False
1497383336,8480682;3,0742346862847585;-10,886069612211646;0,0;False
1497383337,0892274;3,1249522148321103;-11,013242741005667;0,0;False
1497383337,331388;2,606183158152436;-11,313979286097384;0,0;False
1497383337,5745518;2,549505166644352;-11,2417505083938;0,0;False
1497383337,8157146;2,154897435880591;-11,647804927619863;0,0;False
1497383338,056873;1,908047401399597;-11,469657228635931;0,0;False
1497383338,2980335;1,7013683017881938;-11,867490459386596;0,0;False
1497383338,596232;1,2525022589377557;-11,709249862900139;0,0;False
1497383338,836436;1,0414740212460016;-12,074374791523143;0,0;False
1497383339,0805979;0,5739045093190849;-11,891501435833154;0,0;False
1497383339,3257809;0,5170571809186401;-12,119184806050951;0,0;False
1497383339,5679436;-0,06285433663897366;-12,047994385257365;0,0;False
1497383339,9151728;-0,6469049622778289;-12,17028876740528;0,0;False
1497383340,1553333;-1,1302733844717787;-11,929256022579427;0,0;False
1497383340,3945093;-1,1756213028042934;-12,070543086002763;0,0;False
1497383340,639707;-1,7679993003837136;-11,978905705283275;0,0;False
1497383340,8788667;-1,7656434075179535;-11,902275445942859;0,0;False
1497383341,1230724;-2,3279854514311644;-11,97382834453812;0,0;False
1497383341,426272;-2,399456528518373;-11,692251411169428;0,0;False
1497383341,6724758;-2,9623391963225285;-11,711284016500175;0,0;False
1497383341,9126396;-3,006974434554845;-11,417144025697123;0,0;False
1497383342,1558018;-3,437990713181189;-11,551497782990788;0,0;False
1497383342,3969593;-3,6371324513743977;-11,124657351891315;0,0;False
1497383342,6391244;-3,8655504771127602;-11,275104197092539;0,0;False
1497383342,878284;-4,246558773641967;-10,843124503358359;0,0;False
1497383343,2235115;-4,790671653380411;-10,58124748720827;0,0;False
1497383343,4626703;-5,0040486609843065;-10,092625252913638;0,0;False
1497383343,7038312;-5,139038681013528;-10,179023744269745;0,0;False
1497383343,9429915;-5,531538777876696;-9,727448274549133;0,0;False
1497383344,2351863;-5,482963455976618;-9,670109546226412;0,0;False
1497383344,4724045;-5,8774997107937175;-9,218537198771156;0,0;False
1497383344,7125642;-5,781651159899277;-9,09952763284972;0,0;False
1497383344,9537268;-6,246716689403635;-8,825765672304726;0,0;False
1497383345,1939087;-6,110500709980486;-8,490541192522278;0,0;False
1497383345,4370737;-6,496731206864374;-8,398314652440336;0,0;False
1497383345,6793003;-6,448026372162858;-7,884195808133127;0,0;False
1497383345,9195013;-6,654061382454105;-7,892365091786235;0,0;False
1497383346,1637309;-6,766601193756882;-7,309941094978998;0,0;False
1497383346,5180447;-6,995383585661863;-6,7678220505956554;0,0;False
