t;x;y;z;Flag
1497377779,0055835;0,003872776920763796;0,05260944044950848;0,0;False
1497377779,8712735;0,015532995557087816;0,10383094226026493;0,0;False
1497377781,1141226;0,046300217781383504;0,17281018897764228;0,0;False
1497377781,945702;0,07761957813222083;0,21240991920246666;0,0;False
1497377782,809322;0,1168441280416997;0,24721119352372417;0,0;False
1497377783,6709793;0,1614278428969085;0,27458976686878983;0,0;False
1497377784,539698;0,210496902782664;0,29393853644532564;0,0;False
1497377785,4053478;0,26195302434657064;0,30435652627887533;0,0;False
1497377786,2720366;0,314621096627218;0,3056391577009518;0,0;False
1497377787,13765;0,36657812188401573;0,29771227412469964;0,0;False
1497377788,0113466;0,4168079747150418;0,28065608105064677;0,0;False
1497377788,876027;0,46278364966972757;0,2553044620817717;0,0;False
1497377789,7397425;0,5035909184386861;0,22236341133162274;0,0;False
1497377790,6056354;0,5381177263973281;0,18271415414220724;0,0;False
1497377791,4343562;0,5646999554172747;0,13997299855448325;0,0;False
1497377792,3140829;0,5841220610985677;0,09021845867657771;0,0;False
1497377793,1727726;0,5942282082326477;0,039067069849181645;0,0;False
1497377794,0356264;0,595320304463786;-0,01325266100565472;0,0;False
1497377794,8972938;0,5872907788995764;-0,06501394939136937;0,0;False
1497377795,7630372;0,5703126467111795;-0,11476259804871998;0,0;False
1497377796,618608;0,5452677654211348;-0,16020935380224416;0,0;False
1497377797,4712796;0,5128010622452128;-0,20061885552572914;0,0;False
1497377798,348863;0,47272133156208035;-0,23572673001197889;0,0;False
1497377799,2534676;0,4256203374408311;-0,26395803840996257;0,0;False
1497377800,1110556;0,37693208300517045;-0,282255038648131;0,0;False
1497377800,9396763;0,3274954530791596;-0,29190728468781935;0,0;False
1497377801,8372777;0,2730080501504518;-0,29270821366928335;0,0;False
1497377802,7319543;0,21944623830758928;-0,28369693138293334;0,0;False
1497377803,620582;0,16872226647328767;-0,26532551815003175;0,0;False
1497377804,478287;0,12367669044427416;-0,23918625460736306;0,0;False
1497377805,3338768;0,08392495708990166;-0,20573681652622056;0,0;False
1497377806,1987352;0,050206068488071395;-0,16547973469150454;0,0;False
1497377807,0754097;0,02370173877612195;-0,1193211785226454;0,0;False
1497377807,930022;0,006155613835266613;-0,07048408232484504;0,0;False
1497377808,795769;-0,0027862407491124324;-0,018683551365757722;0,0;False
1497377809,6483748;-0,0025980015866947583;0,033088099311147735;0,0;False
1497377810,5590465;0,007295554730167108;0,08747530182273985;0,0;False
1497377811,4177885;0,025709388685555938;0,13619362015673367;0,0;False
1497377812,27944;0,05244133574752349;0,18123843147872878;0,0;False
1497377813,135094;0,08630628167730144;0,22064172910333096;0,0;False
1497377813,9866621;0,1262125225422194;0,25342969814631844;0,0;False
1497377814,8463292;0,17170423011659397;0,2791510732537881;0,0;False
1497377815,7000315;0,2205641212972158;0,29646965338718245;0,0;False
1497377816,5636723;0,27227382208969686;0,30518536321232054;0,0;False
1497377817,415359;0,32398889067101666;0,3048076327543473;0,0;False
1497377818,2731657;0,3752304090607384;0,2954628791981476;0,0;False
1497377819,135879;0,424355779243643;0,2772782718241487;0,0;False
1497377820,0415256;0,47173777536375516;0,24939786741770903;0,0;False
1497377820,9041417;0,5113565097010895;0,21513799133189726;0,0;False
1497377821,75481;0,5439532065451912;0,17514504081276833;0,0;False
1497377822,6695652;0,5709791037435723;0,12657111758053133;0,0;False
1497377823,5302243;0,5876745101163922;0,07705041105012167;0,0;False
1497377828,0832691;0,5957085978888355;0,02345792669435336;0,0;False
1497377828,9279568;0,5954692448667716;-0,027804481501437092;0,0;False
1497377829,788644;0,5850165812042318;-0,0790092340961776;0,0;False
1497377830,6483152;0,56588719329346;-0,1275118991295379;0,0;False
1497377831,5389092;0,537516043116928;-0,17360874234882603;0,0;False
1497377832,3994834;0,5026441293203114;-0,21252457650742868;0,0;False
1497377833,2590554;0,46159931070410853;-0,24476535745867906;0,0;False
1497377834,111768;0,4159645326045996;-0,26922915531232433;0,0;False
1497377834,9673586;0,36663374648256947;-0,2855245199529732;0,0;False
1497377835,8660204;0,31263653435885247;-0,2933025105063216;0,0;False
1497377836,730639;0,26023468651491155;-0,29136108979710995;0,0;False
1497377837,5834303;0,20954628702671946;-0,2804755422065826;0,0;False
1497377838,4350433;0,16160694424340744;-0,2610864263664798;0,0;False
1497377839,2957032;0,11726401673772234;-0,2334328986629822;0,0;False
1497377840,1543405;0,07848043933803295;-0,19858927895796763;0,0;False
1497377841,0169182;0,04618320913046791;-0,15735743013887818;0,0;False
1497377841,8695326;0,021802740812809508;-0,11168435935064011;0,0;False
1497377842,7321887;0,005479752989659154;-0,06191297184198303;0,0;False
1497377843,5897603;-0,0019069720120020507;-0,010366913754980278;0,0;False
1497377844,4443824;-0,0002841038330203653;0,04150181258016573;0,0;False
1497377845,3470097;0,010994404363899936;0,09512248060882153;0,0;False
1497377846,1986167;0,030521257332650154;0,14300563879190495;0,0;False
1497377847,0532455;0,058091970713661636;0,18697060815568514;0,0;False
1497377848,0650768;0,09954390683647073;0,23232993533772467;0,0;False
1497377848,9217367;0,14150695427674326;0,2630695006147467;0,0;False
1497377849,7794201;0,1882059581727497;0,28612260717902516;0,0;False
1497377850,6360722;0,2381272134141855;0,300737736855529;0,0;False
1497377851,492787;0,28982696624711174;0,3065068291921157;0,0;False
1497377852,3483806;0,3416784468667636;0,30326770609948195;0,0;False
1497377853,1999898;0,3919619193906111;0,2911970137525663;0,0;False
1497377854,0585637;0,4398011105642239;0,27047803949476634;0,0;False
1497377854,965213;0,4856719108330735;0,24006590321534502;0,0;False
1497377855,826963;0,5233593047246123;0,20376808063323884;0,0;False
1497377856,682534;0,5539591521942536;0,16178459899332986;0,0;False
1497377857,5401864;0,5769077236782381;0,11503658081479322;0,0;False
1497377858,3958685;0,5913958178405194;0,06513924951768056;0,0;False
1497377859,2514749;0,5970585729674766;0,013495572956174227;0,0;False
1497377860,1081114;0,5937157828025368;-0,03841250648406477;0,0;False
1497377860,9667525;0,5814362743633874;-0,08902046958296957;0,0;False
1497377861,8223863;0,5606172836895054;-0,1366879042532592;0,0;False
1497377862,6769588;0,5319463228732809;-0,1799394018385832;0,0;False
1497377863,5326226;0,49620195142255535;-0,21764742086420596;0,0;False
1497377864,4443772;0,45165881800048735;-0,2504956736600487;0,0;False
1497377865,2959957;0,4051908199653707;-0,2731865532331444;0,0;False
1497377866,1486511;0,35545419837778186;-0,28757132022544074;0,0;False
1497377867,0062616;0,30368502194776337;-0,2932036101380763;0,0;False
1497377867,8610375;0,2518922980641742;-0,28981874612138475;0,0;False
1497377868,7236445;0,20100512104172363;-0,277416224532192;0,0;False
1497377869,5743296;0,15369463882874712;-0,25667857384134085;0,0;False
1497377870,4289715;0,11045315043921702;-0,2279853336290627;0,0;False
1497377871,2845812;0,07276234244522793;-0,19222817763134917;0,0;False
1497377872,1392672;0,04184171340142239;-0,15054681722540744;0,0;False
1497377873,0178535;0,017989477287028034;-0,10283450222989766;0,0;False
1497377873,922539;0,0025996288241062816;-0,050116684441765286;0,0;False
1497377874,7801557;-0,002781877837441913;0,0016790743195419788;0,0;False
1497377875,6327446;0,0008436967079098577;0,053323067568002036;0,0;False
1497377876,492338;0,013421376308054976;0,10397963773391827;0,0;False
1497377877,4060395;0,036077861282853396;0,15460389395711646;0,0;False
1497377878,2686539;0,06574618453914763;0,19769496990293312;0,0;False
1497377879,121522;0,10210206429603008;0,2346613978654368;0,0;False
1497377880,0081148;0,14595220645053097;0,2658765999244242;0,0;False
1497377880,8827717;0,1940071273349655;0,28847857158755214;0,0;False
1497377881,7454567;0,24452478860163765;0,30209423518332706;0,0;False
