t;x;y;z;Flag
1497384521,8354185;-0,03825279791687507;-0,03825279791687506;0,0;False
1497384522,2497137;-0,11421144792479879;-0,11421144792479877;0,0;False
1497384522,4838688;-0,16778442506975705;-0,16778442506975705;0,0;False
1497384523,0133145;-0,23530192261434585;-0,23530192261434585;0,0;False
1497384523,2444682;-0,3337404807846008;-0,3337404807846007;0,0;False
1497384523,4866302;-0,44528782977448483;-0,4452878297744848;0,0;False
1497384523,7287917;-0,5704208289094228;-0,5704208289094228;0,0;False
1497384523,963947;-0,7087814718509505;-0,7087814718509505;0,0;False
1497384524,2041872;-0,8596683809563497;-0,8596683809563497;0,0;False
1497384524,478374;-1,0229473541888634;-1,0229473541888634;0,0;False
1497384524,7165546;-1,2000036301812749;-1,2000036301812746;0,0;False
1497384524,9467137;-1,3885414546410126;-1,3885414546410124;0,0;False
1497384525,182863;-1,5877570135203718;-1,5877570135203716;0,0;False
1497384525,4270926;-1,7974774386518102;-1,79747743865181;0,0;False
1497384525,665284;-2,017515178021406;-2,0175151780214056;0,0;False
1497384525,9054642;-2,247177640474026;-2,2471776404740256;0,0;False
1497384526,1506488;-2,485961469193587;-2,4859614691935867;0,0;False
1497384526,3858256;-2,7334385053860304;-2,73343850538603;0,0;False
1497384526,633994;-2,9887473485292935;-2,988747348529293;0,0;False
1497384526,9011905;-3,251654982862495;-3,2516549828624948;0,0;False
1497384527,194389;-3,5219999627518845;-3,521999962751884;0,0;False
1497384527,434546;-3,79959302781573;-3,79959302781573;0,0;False
1497384527,6877398;-4,082393773479932;-4,082393773479932;0,0;False
1497384527,9269457;-4,369941792911297;-4,369941792911297;0,0;False
1497384528,1661053;-4,661313093169123;-4,661313093169123;0,0;False
1497384528,4083061;-4,955804942878877;-4,955804942878877;0,0;False
1497384528,6464622;-5,2527518297872025;-5,2527518297872025;0,0;False
1497384528,8932612;-5,551415068447946;-5,551415068447946;0,0;False
1497384529,130422;-5,85112273454172;-5,85112273454172;0,0;False
1497384529,3656452;-6,15112774830139;-6,15112774830139;0,0;False
1497384529,6007981;-6,450745724618917;-6,450745724618917;0,0;False
1497384529,8909895;-6,749290085997144;-6,749290085997144;0,0;False
1497384530,1292186;-7,045578997914402;-7,045578997914402;0,0;False
1497384530,3733842;-7,339249877038485;-7,339249877038485;0,0;False
1497384530,612675;-7,629527114255001;-7,629527114255001;0,0;False
1497384530,8538537;-7,9157886949600815;-7,9157886949600815;0,0;False
1497384531,1000776;-8,197321658939366;-8,197321658939366;0,0;False
1497384531,3334203;-8,473357082737804;-8,473357082737804;0,0;False
1497384531,561657;-8,743501534010797;-8,743501534010798;0,0;False
1497384531,789828;-9,00732260838069;-9,007322608380692;0,0;False
1497384532,019981;-9,264257828580693;-9,264257828580694;0,0;False
1497384532,308174;-9,513690770084557;-9,513690770084558;0,0;False
1497384532,6073747;-9,752966242609018;-9,75296624260902;0,0;False
1497384532,8485343;-9,980833143195667;-9,980833143195671;0,0;False
1497384533,0926995;-10,198934486689252;-10,198934486689256;0,0;False
1497384533,3348606;-10,40653385966804;-10,406533859668043;0,0;False
1497384533,5740561;-10,603302629071145;-10,603302629071148;0,0;False
1497384533,8162165;-10,788816797606302;-10,788816797606305;0,0;False
1497384534,0563807;-10,962589037799214;-10,962589037799217;0,0;False
1497384534,3055408;-11,124255186641145;-11,124255186641149;0,0;False
1497384534,5517077;-11,272904288574987;-11,27290428857499;0,0;False
1497384534,787866;-11,408371109187234;-11,408371109187238;0,0;False
1497384535,021018;-11,53087426686427;-11,530874266864274;0,0;False
1497384535,3002505;-11,64030336233603;-11,640303362336034;0,0;False
1497384535,5294251;-11,733755414992988;-11,733755414992991;0,0;False
1497384535,7605782;-11,813868686904145;-11,813868686904149;0,0;False
1497384535,9937572;-11,88035302700471;-11,880353027004714;0,0;False
1497384536,224909;-11,932941217107052;-11,932941217107055;0,0;False
1497384536,459087;-11,971698393148989;-11,971698393148992;0,0;False
1497384536,9004214;-12,010736309008704;-12,010736309008708;0,0;False
1497384537,3417375;-11,96932096323239;-11,969320963232393;0,0;False
1497384537,675961;-11,89730039212022;-11,897300392120224;0,0;False
1497384537,9071176;-11,848150360549477;-11,84815036054948;0,0;False
1497384538,1482785;-11,785133071458903;-11,785133071458906;0,0;False
1497384538,434526;-11,707858949304265;-11,707858949304269;0,0;False
1497384538,6656802;-11,613904916390883;-11,613904916390887;0,0;False
1497384538,8998363;-11,506709486817856;-11,50670948681786;0,0;False
1497384539,1299918;-11,3863407104854;-11,386340710485404;0,0;False
1497384539,3641696;-11,253342335160434;-11,253342335160438;0,0;False
1497384539,5943432;-11,107680708876035;-11,107680708876039;0,0;False
1497384539,8244967;-10,949945677562516;-10,94994567756252;0,0;False
1497384540,0586562;-10,780481526414308;-10,780481526414311;0,0;False
1497384540,298815;-10,599511369201112;-10,599511369201116;0,0;False
1497384540,5310347;-10,40706552710146;-10,407065527101464;0,0;False
1497384540,7681954;-10,204003746003815;-10,204003746003819;0,0;False
1497384541,053385;-9,99056458877775;-9,990564588777753;0,0;False
1497384541,2845428;-9,765301575320292;-9,765301575320295;0,0;False
1497384541,5186982;-9,53104330942718;-9,531043309427183;0,0;False
1497384541,7498503;-9,288120976102839;-9,288120976102842;0,0;False
1497384541,9820445;-9,03721981348791;-9,037219813487914;0,0;False
1497384542,2131999;-8,778889192044984;-8,778889192044987;0,0;False
1497384542,4743736;-8,51369751756509;-8,513697517565094;0,0;False
1497384542,705582;-8,24145476542679;-8,241454765426793;0,0;False
1497384542,9357338;-7,96358295392197;-7,963582953921973;0,0;False
1497384565,72469;-7,680739249177465;-7,863566038571988;0,0;False
1497384565,961851;-7,393206989962624;-7,777955615254894;0,0;False
1497384566,1960683;-7,101893057361588;-7,70626086410642;0,0;False
1497384566,765467;-6,807504935883555;-7,6484717768809105;0,0;False
1497384566,9966624;-6,5084204354569035;-7,62496845213179;0,0;False
1497384567,2288554;-6,208563264277284;-7,615501585602736;0,0;False
1497384567,4610102;-5,9085927447622915;-7,620152616846195;0,0;False
1497384567,9584372;-5,609173063750058;-7,638908930243411;0,0;False
1497384568,1905918;-5,313152046873913;-7,687648054541411;0,0;False
1497384568,4668157;-5,0197514099145755;-7,750258044970874;0,0;False
1497384568,6990614;-4,730330191925988;-7,829247305302424;0,0;False
1497384568,9332194;-4,444946663275662;-7,921768579854878;0,0;False
1497384569,1654336;-4,164252662106146;-8,027668638292871;0,0;False
1497384569,4155982;-3,888876471348654;-8,146714420383695;0,0;False
1497384569,673811;-3,6198881275166883;-8,279564770598736;0,0;False
1497384569,9170256;-3,358218148958814;-8,426305245557911;0,0;False
1497384570,1701934;-3,1040972385078103;-8,58576215993065;0,0;False
1497384570,4023962;-2,8584899475638417;-8,758043915508214;0,0;False
1497384570,6345665;-2,6212603480537817;-8,941690483093941;0,0;False
