t;x;y;z;Flag
1497384236,64745;0,3000065743775002;-1,83701045517284e-17;0,0;False
1497384236,893613;0,5996056323805775;-0,01563167020478966;0,0;False
1497384237,1287744;0,8980459719026428;-0,04624716327083331;0,0;False
1497384237,3649313;1,1946885679390666;-0,09104799904979652;0,0;False
1497384237,6451619;1,4888476682023746;-0,14999177227482563;0,0;False
1497384238,279668;1,7791860637676367;-0,2255401721937652;0,0;False
1497384238,5158274;2,0574368962832605;-0,33770263861673905;0,0;False
1497384238,7579906;2,330002006554303;-0,46305097459555133;0,0;False
1497384238,9901452;2,5960885238177913;-0,6016219311496207;0,0;False
1497384239,272384;2,8553622064867565;-0,7525560298317784;0,0;False
1497384239,5165913;3,1055817177691982;-0,9180677842279499;0,0;False
1497384239,754752;3,3473052990938674;-1,095757555743641;0,0;False
1497384240,000918;3,580172797995809;-1,2849047804784404;0,0;False
1497384240,2420838;3,8033165569557004;-1,4854311066976493;0,0;False
1497384240,4922526;4,016395284461652;-1,6966215433991414;0,0;False
1497384240,7434201;4,218495646782178;-1,9183407086051167;0,0;False
1497384240,9835825;4,409098260140669;-2,1500184771774076;0,0;False
1497384241,222762;4,5881525947696655;-2,3907330174949584;0,0;False
1497384241,4690287;4,755331123199737;-2,639841998267789;0,0;False
1497384241,7082312;4,909871767560944;-2,896982298318453;0,0;False
1497384242,005429;5,051821963666118;-3,161281534971579;0,0;False
1497384242,2516093;5,177602538746477;-3,433647449876834;0,0;False
1497384242,4887898;5,289584777172784;-3,7119708641753015;0,0;False
1497384242,7439618;5,388062267646205;-3,995354223848695;0,0;False
1497384242,9881263;5,471757378387668;-4,2834498210168865;0,0;False
1497384243,2282906;5,541156706362832;-4,5753191033100356;0,0;False
1497384243,4705217;5,596211523412228;-4,870230804992726;0,0;False
1497384243,708771;5,636725888822251;-5,16748916209164;0,0;False
1497384243,9479773;5,662843377250462;-5,466356727190171;0,0;False
1497384244,1892521;5,6744449391368805;-5,76613889549162;0,0;False
1497384244,422408;5,671377525371237;-6,0661297880909;0,0;False
1497384244,7046747;5,6541413402238865;-6,36564082059436;0,0;False
1497384244,9378924;5,619806425085539;-6,6636761511713996;0,0;False
1497384245,177055;5,571426328628726;-6,959756057508442;0,0;False
1497384245,4222543;5,508755575025271;-7,25314372138083;0,0;False
1497384245,6644175;5,431645276185012;-7,543071206249873;0,0;False
1497384245,9005766;5,34034451929857;-7,8288475461761955;0,0;False
1497384246,1387687;5,235473913077867;-8,109927784934854;0,0;False
1497384246,380921;5,117160093684847;-8,385619251633333;0,0;False
1497384246,6110995;4,985462383397607;-8,65517380599074;0,0;False
1497384246,8442562;4,84133616359701;-8,918292747604058;0,0;False
1497384247,0744328;4,6849405397607224;-9,174309062542347;0,0;False
1497384247,3666298;4,516774792165472;-9,422752669836745;0,0;False
1497384247,6058116;4,334197931545741;-9,66080651802233;0,0;False
1497384247,8749902;4,140345443670027;-9,889771925047318;0,0;False
1497384248,111232;3,9342507492447796;-10,107783212827302;0,0;False
1497384248,3534005;3,717956778357372;-10,31567949184037;0,0;False
1497384248,5925999;3,491762800850112;-10,512758737853662;0,0;False
1497384248,8277779;3,2562827807300554;-10,698643392395075;0,0;False
1497384249,0739415;3,012177202646606;-10,87304640675626;0,0;False
1497384249,3171082;2,7597098523618175;-11,035108684013801;0,0;False
1497384249,5612729;2,4995341784988714;-11,184482588694921;0,0;False
1497384249,7994516;2,232287411231085;-11,320802470057254;0,0;False
1497384250,0926747;1,958798368273726;-11,44412192534307;0,0;False
1497384250,3278687;1,678445387930055;-11,55092150906016;0,0;False
1497384250,5641232;1,393321421479126;-11,644239612475372;0,0;False
1497384250,7952783;1,1040572364365293;-11,723802015162603;0,0;False
1497384251,0244539;0,8113840425905863;-11,789728840307893;0,0;False
1497384251,2536073;0,5159651782654484;-11,841993926843442;0,0;False
1497384251,4928353;0,21843817706644603;-11,880485851025682;0,0;False
1497384251,7240114;-0,08060486099318703;-11,904510964090711;0,0;False
1497384251,9531677;-0,3804429892522217;-11,914562904790955;0,0;False
1497384252,1863248;-0,6804236663383572;-11,910621072137703;0,0;False
1497384252,4184785;-0,9798831809845332;-11,892511854661533;0,0;False
1497384252,6996708;-1,278159365677015;-11,860336362201911;0,0;False
1497384252,9348266;-1,5741182970730494;-11,811221643464654;0,0;False
1497384253,1639805;-1,8674009205847004;-11,748061154107416;0,0;False
